time_s,phase,physics_time_s,command_depth_mm,depth_mm,tip_x_mm,tip_y_mm,tilt_deg,grasp_slip_mm,grasp_slip_deg,force_norm_n,torque_norm_nm,normal_load_n,min_separation_mm,contact_count,wrist_force_n,wrist_torque_nm,wrist_contact_force_balance_n,wrist_contact_torque_balance_nm,contact_power_w,lowest_peg_z_above_mouth_mm,fx,fy,fz,taux,tauy,tauz,qw,qx,qy,qz,vx,vy,vz,omegax,omegay,omegaz,joint1_rad,joint2_rad,joint3_rad,joint4_rad,joint5_rad,joint6_rad,joint7_rad,joint_velocity1_rad_s,joint_velocity2_rad_s,joint_velocity3_rad_s,joint_velocity4_rad_s,joint_velocity5_rad_s,joint_velocity6_rad_s,joint_velocity7_rad_s,hand_pose_0,hand_pose_1,hand_pose_2,hand_pose_3,hand_pose_4,hand_pose_5,hand_pose_6,grasp_position_0,grasp_position_1,grasp_position_2,grasp_quat_0,grasp_quat_1,grasp_quat_2,grasp_quat_3,wrist_raw_child_0,wrist_raw_child_1,wrist_raw_child_2,wrist_raw_child_3,wrist_raw_child_4,wrist_raw_child_5,wrist_force_world_0,wrist_force_world_1,wrist_force_world_2,wrist_torque_about_peg_base_world_0,wrist_torque_about_peg_base_world_1,wrist_torque_about_peg_base_world_2,com_offset_world_0,com_offset_world_1,com_offset_world_2,finger_position_0,finger_position_1,finger_velocity_0,finger_velocity_1,step,segment,intervention_count,nominal_clock_s,nominal_offset_x_mm,nominal_offset_y_mm,nominal_roll_deg,nominal_pitch_deg,ramp_progress_depth_mm,check_performed,eta_valid,eta_raw,actual_progress_mm,command_progress_mm,trigger_consecutive,soft_trigger,intervention_started,stalled_now,unload_command_mm,unload_actual_mm,unloading_verified,unloading_failed,force_budget_exceeded,torque_budget_exceeded,numerically_valid,grasp_retained,relax_fraction,retry_pose_latched,command_peg_position_0,command_peg_position_1,command_peg_position_2,command_peg_quaternion_0,command_peg_quaternion_1,command_peg_quaternion_2,command_peg_quaternion_3,command_hand_position_0,command_hand_position_1,command_hand_position_2,command_hand_quaternion_0,command_hand_quaternion_1,command_hand_quaternion_2,command_hand_quaternion_3
1.0249999999850843,approach,1.0250000534579158,-10.0,-12.651095539331434,-0.24050474166870117,0.04994271512259729,0.03426402009603798,0.01236201569554396,0.03956468118525214,0.0,0.0,0.0,0.0,0,0.005535120610147715,0.00038862289511598647,0.005535120610147715,0.0011493078200146556,0.0,12.64870764575094,0.0,0.0,0.0,0.0,0.0,0.0,-0.00019326624169480056,-0.0002637301222421229,-0.00011301807535346597,0.9999998807907104,0.0039686174131929874,5.744208465330303e-05,-0.0005292261485010386,0.014326510950922966,-0.21116018295288086,-0.138546884059906,-0.4889354407787323,0.48729565739631653,0.502545177936554,-2.023284912109375,-0.3512049615383148,2.4276533126831055,1.0182068347930908,0.0020649658981710672,0.008858701214194298,-0.002874666592106223,0.002902912674471736,-0.006445295177400112,0.004611779935657978,0.003880853997543454,0.5997533202171326,3.455964179011062e-05,0.12005149573087692,-0.00011929255560971797,0.9999998807907104,0.00017827810370363295,0.0003047168720513582,-1.354290907329414e-05,-7.654123692191206e-06,0.03240039572119713,4.0989652916323394e-05,1.4985179404902738e-05,0.9999999403953552,-6.262589067773661e-06,0.005494582932442427,-0.00032357199233956635,-0.0005851677269674838,0.00015072005044203252,-0.0003474883851595223,8.696577424416319e-05,0.005494109354913235,0.00032539095263928175,0.0005885933642275631,0.00010361460590502247,0.0011413481552153826,-8.658377919346094e-05,-1.3172626495361328e-05,-5.653451808029786e-06,0.02499999850988388,0.0040247803553938866,0.004038501996546984,5.193935976421926e-06,7.372087566182017e-06,123,0,0,0.0,0.0,0.0,0.0,0.0,-10.0,False,False,,,,0,False,False,False,0.0,,False,False,False,False,True,True,0.0,False,,,,,,,,0.5998057126998901,2.2371219529304653e-05,0.11979363113641739,-9.352259075967595e-05,0.9999998807907104,0.00014850373554509133,0.00024728922289796174
1.0333333333182964,approach,1.0333333872258663,-10.0,-12.629541009664534,-0.22357702255249023,0.04719335993286222,0.03426402009603798,0.012232594599481672,0.03956468118525214,0.0,0.0,0.0,0.0,0,0.0008295478182844818,0.0005723787471652031,0.0008295478182844818,0.0005174080724827945,0.0,12.62715311608404,0.0,0.0,0.0,0.0,0.0,0.0,-0.0001907923142425716,-0.0002794856554828584,-0.00011405836994526908,1.0,0.004186122678220272,5.2900053560733795e-05,-0.0005396348424255848,0.01336462702602148,-0.22395476698875427,-0.1469847857952118,-0.488918274641037,0.4873700439929962,0.5025222897529602,-2.023240327835083,-0.3512568473815918,2.427699089050293,1.0182297229766846,0.0019985430408269167,0.008870664983987808,-0.002785769524052739,0.002925933338701725,-0.006430228240787983,0.004496563225984573,0.0038946927525103092,0.5997693538665771,3.1998413760447875e-05,0.12002995610237122,-0.0001200714468723163,0.9999998211860657,0.00017984678561333567,0.0003171084972564131,-1.3451874110614881e-05,-7.4153522291453555e-06,0.032400403171777725,3.7625264667440206e-05,1.0942918379441835e-05,0.9999999403953552,-6.002840109431418e-06,-8.80749721545726e-05,-0.0007132848841138184,-0.00041426694951951504,0.00028309444314800203,-0.0004846501396968961,0.00011220163287362084,-8.859427907736972e-05,0.0007131536258384585,0.00041438217158429325,0.00017994342488236725,0.0004720119177363813,-0.0001119652297347784,-1.3947486877441406e-05,-5.70558404433541e-06,0.02499999850988388,0.004024761263281107,0.00403856486082077,5.179846993996762e-06,7.34720379114151e-06,124,0,0,0.0,0.0,0.0,0.0,0.0,-10.0,False,False,,,,0,False,False,False,0.0,,False,False,False,False,True,True,0.0,False,,,,,,,,0.5998082756996155,2.201917232014239e-05,0.11976249516010284,-9.352259075967595e-05,0.9999998807907104,0.00014850373554509133,0.00024728922289796174
1.0416666666515084,approach,1.0416667209938169,-10.0,-12.607926875352858,-0.20700693130493164,0.04476283356780186,0.03426402009603798,0.012860868991992902,0.055952909680744456,0.0,0.0,0.0,0.0,0,0.002623780397698283,0.0011153774103149772,0.002623780397698283,0.000759195419959724,0.0,12.605538981772364,0.0,0.0,0.0,0.0,0.0,0.0,-0.00019463381613604724,-0.0002917245728895068,-0.0001149550371337682,0.9999998807907104,0.004156341310590506,5.725440860260278e-05,-0.0005528759211301804,0.013095972128212452,-0.22416020929813385,-0.14728614687919617,-0.48890116810798645,0.4874444305896759,0.5024994611740112,-2.023195743560791,-0.35130855441093445,2.4277448654174805,1.0182526111602783,0.0019299789564684033,0.008878177031874657,-0.0026955916546285152,0.0029199831187725067,-0.006413207855075598,0.004327446222305298,0.003906687721610069,0.599785566329956,2.9475604605977423e-05,0.12000879645347595,-0.00012087941286154091,0.9999998807907104,0.00018151343101635575,0.00032966508297249675,-1.3908162145526148e-05,-7.455204467987642e-06,0.032400865107774734,3.79431621695403e-05,1.3117766684445087e-05,0.9999998807907104,-5.913190761930309e-06,-0.0023784164804965258,-0.0007709720521233976,0.0007955884211696684,0.00021556296269409359,-0.0010915802558884025,7.779467705404386e-05,-0.0023781710769981146,0.0007703013834543526,-0.000796970387455076,0.00010396475408924744,0.0007480338681489229,-7.755222759442404e-05,-1.4603137969970703e-05,-5.750589480157942e-06,0.02499999850988388,0.004024778492748737,0.004038574639707804,5.1669867389136925e-06,7.3315168265253305e-06,125,0,0,0.0,0.0,0.0,0.0,0.0,-10.0,False,False,,,,0,False,False,False,0.0,,False,False,False,False,True,True,0.0,False,,,,,,,,0.5998108386993408,2.1667321561835706e-05,0.1197313666343689,-9.352259075967595e-05,0.9999998807907104,0.00014850373554509133,0.00024728922289796174
1.0499999999847205,approach,1.0500000547617674,-10.0,-12.586618214845656,-0.19055604934692383,0.042395524360472336,0.03956468264845247,0.013204475180828013,0.03956468118525214,0.0,0.0,0.0,0.0,0,0.003760341554880142,0.0012034212704747915,0.003760341787710786,0.0007302700541913509,0.0,12.583860912883758,0.0,0.0,0.0,0.0,0.0,0.0,-0.0001956349442480132,-0.00030196906300261617,-0.00011595118849072605,0.9999999403953552,0.004240765701979399,6.231262523215264e-05,-0.0005815017502754927,0.013256472535431385,-0.23151102662086487,-0.1530250459909439,-0.48888424038887024,0.4875188171863556,0.5024767518043518,-2.023151397705078,-0.3513600826263428,2.427790641784668,1.018275499343872,0.001860496704466641,0.008880222216248512,-0.00260809063911438,0.002877705032005906,-0.006397016812115908,0.004175036679953337,0.003927167039364576,0.5998016595840454,2.6690218874136917e-05,0.11998727917671204,-0.00012169493857072666,0.9999998211860657,0.00018295861082151532,0.00034225647686980665,-1.4366158211487345e-05,-7.820503014954738e-06,0.032400649040937424,4.0290047763846815e-05,1.2673376659222413e-05,0.9999999403953552,-5.732048066420248e-06,-0.0031846242491155863,-0.0009470881195738912,0.0017610681243240833,0.0002228561061201617,-0.0011784557718783617,9.89944237517193e-05,-0.003183764638379216,0.0009463519090786576,-0.0017630172660574317,8.584726310800761e-05,0.0007184487767517567,-9.877199772745371e-05,-1.5079975128173828e-05,-5.800513463327661e-06,0.02499999850988388,0.004024801775813103,0.004038608632981777,5.153085112397093e-06,7.308670319616795e-06,126,0,0,0.0,0.0,0.0,0.0,0.0,-10.0,False,False,,,,0,False,False,False,0.0,,False,False,False,False,True,True,0.0,False,,,,,,,,0.5998134016990662,2.1315718186087906e-05,0.11970026791095734,-9.352259075967595e-05,0.9999998807907104,0.00014850373554509133,0.00024728922289796174
1.0583333333179326,approach,1.058333388529718,-10.0,-12.564877420663832,-0.1741647720336914,0.03983725036960095,0.03956468264845247,0.012442359548003878,0.06852804166478502,0.0,0.0,0.0,0.0,0,0.004791906103491783,0.0011639860458672047,0.004791906103491783,0.0005782330990768969,0.0,12.562120118701934,0.0,0.0,0.0,0.0,0.0,0.0,-0.0001947758428286761,-0.0003135002334602177,-0.0001174923381768167,0.9999998807907104,0.004290920682251453,7.092172745615244e-05,-0.0006093215197324753,0.013150258921086788,-0.23745302855968475,-0.1577785760164261,-0.4888674020767212,0.4875932037830353,0.5024541020393372,-2.023109197616577,-0.3514116108417511,2.4278364181518555,1.0182983875274658,0.0017913562478497624,0.008877507410943508,-0.0025248813908547163,0.002801310969516635,-0.0063878754153847694,0.004063725937157869,0.003955102059990168,0.5998167991638184,2.4268143533845432e-05,0.11996498703956604,-0.0001226388121722266,0.9999998211860657,0.00018452030781190842,0.00035351363476365805,-1.3843575288774446e-05,-7.622958946740255e-06,0.03240009769797325,4.0015638660406694e-05,1.0252409992972389e-05,0.9999998211860657,-5.135468200023752e-06,-0.003935074433684349,-0.0011493702186271548,0.0024812298361212015,0.0002441410906612873,-0.0011347706895321608,8.691400580573827e-05,-0.003933743108063936,0.001148527255281806,-0.0024837299715727568,7.796156569384038e-05,0.000566350354347378,-8.673407137393951e-05,-1.5676021575927734e-05,-5.877667717868462e-06,0.02499999850988388,0.004024788737297058,0.004038652870804071,5.149665412318427e-06,7.310009095817804e-06,127,0,0,0.0,0.0,0.0,0.0,0.0,-10.0,False,False,,,,0,False,False,False,0.0,,False,False,False,False,True,True,0.0,False,,,,,,,,0.5998159050941467,2.0964405848644674e-05,0.11966919153928757,-9.352259075967595e-05,0.9999998807907104,0.00014850373554509133,0.00024728922289796174
1.0666666666511446,approach,1.0666667222976685,-10.0,-12.54230961203575,-0.15872716903686523,0.03760254185181111,0.03956468264845247,0.0038367606975953095,0.03956468118525214,0.0,0.0,0.0,0.0,0,0.00582707766443491,0.0010776279959827662,0.00582707766443491,0.0003638764610514045,0.0,12.539552310073852,0.0,0.0,0.0,0.0,0.0,0.0,-0.0001942673698067665,-0.0003256075724493712,-0.00011855617049150169,0.9999999403953552,0.004090119618922472,8.490221080137417e-05,-0.0006377715617418289,0.013198121450841427,-0.22909672558307648,-0.1514999121427536,-0.48885226249694824,0.48766759037971497,0.5024314522743225,-2.02309250831604,-0.3514631986618042,2.427882194519043,1.0183213949203491,0.0017244359478354454,0.008871003054082394,-0.0024488121271133423,0.0026968372985720634,-0.006394479423761368,0.004003783687949181,0.003997394815087318,0.5998200178146362,2.3462718672817573e-05,0.11993331462144852,-0.00012390832125674933,0.9999998211860657,0.00018823356367647648,0.0003525934589561075,-1.5590430848533288e-06,-6.109075911808759e-06,0.03239100053906441,2.698766729736235e-05,6.032360488461563e-06,0.9999999403953552,-5.34498803972383e-06,-0.0048356554470956326,-0.0012654559686779976,0.002994977403432131,0.0002390987065155059,-0.0010470586130395532,8.821677329251543e-05,-0.004834018647670746,0.0012643783120438457,-0.00299807358533144,5.623766628559679e-05,0.0003485377528704703,-8.811830775812268e-05,-1.627206802368164e-05,-5.93097138334997e-06,0.024999991059303284,0.004024779424071312,0.004038648679852486,5.154857717570849e-06,7.311056833714247e-06,128,0,0,0.0,0.0,0.0,0.0,0.0,-10.0,False,False,,,,0,False,False,False,0.0,,False,False,False,False,True,True,0.0,False,,,,,,,,0.5998184680938721,2.0613439119188115e-05,0.11963814496994019,-9.352259075967595e-05,0.9999998807907104,0.00014850373554509133,0.00024728922289796174
1.0749999999843567,approach,1.075000056065619,-10.0,-12.510480731725691,-0.15413761138916016,0.037008485378464684,0.03956468264845247,0.015485491530853324,0.03956468118525214,0.0,0.0,0.0,0.0,0,0.00847061350941658,0.00042488102917559445,0.00847061350941658,0.0009061787277460098,0.0,12.507723429763793,0.0,0.0,0.0,0.0,0.0,0.0,-0.00018887248006649315,-0.00034261500695720315,-0.00011986196477664635,0.9999998807907104,0.0008053299970924854,9.367120946990326e-05,-0.000550590455532074,0.013147929683327675,-0.042403899133205414,-0.015941955149173737,-0.488840788602829,0.48774197697639465,0.5024088025093079,-2.02309250831604,-0.35151469707489014,2.4279279708862305,1.0183446407318115,0.001681965310126543,0.008874469436705112,-0.0024076104164123535,0.002606934867799282,-0.006470529828220606,0.00418831454589963,0.004093636758625507,0.5998153686523438,2.231561484222766e-05,0.11989457905292511,-0.000125608712551184,0.9999998807907104,0.0001917125191539526,0.00034313276410102844,8.297554813907482e-06,-6.549973477376625e-06,0.03238410875201225,5.185050326872442e-07,-2.838078899003449e-06,0.9999999403953552,-5.747594514105003e-06,-0.00828162208199501,-0.0012261304073035717,0.0012894311221316457,0.00025124213425442576,-0.0003063400508835912,0.00015348306624218822,-0.008281204849481583,0.0012232797453179955,-0.0012948064832016826,7.4576455517672e-05,-0.0008899260428734124,-0.0001537200150778517,-1.710653305053711e-05,-5.99633131059818e-06,0.024999991059303284,0.0040247817523777485,0.004038702696561813,5.146085641172249e-06,7.301947334781289e-06,129,0,0,0.0,0.0,0.0,0.0,0.0,-10.0,False,False,,,,0,False,False,False,0.0,,False,False,False,False,True,True,0.0,False,,,,,,,,0.5998210310935974,2.0262861653463915e-05,0.11960713565349579,-9.352259075967595e-05,0.9999998807907104,0.00014850373554509133,0.00024728922289796174
1.0833333333175688,approach,1.0833333898335695,-10.0,-12.471670657396315,-0.15860795974731445,0.036149089282844216,0.03956468264845247,0.014299880604085047,0.055952909680744456,0.0,0.0,0.0,0.0,0,0.006681174039840698,0.000207007527933456,0.006681174039840698,0.0007858216995373368,0.0,12.468913355434417,0.0,0.0,0.0,0.0,0.0,0.0,-0.00018593569984659553,-0.00034377918927930295,-0.00012283850810490549,0.9999998807907104,-0.0019489151891320944,9.481884626438841e-05,-0.00047385203652083874,0.012866009958088398,0.11453976482152939,0.09877543896436691,-0.48882919549942017,0.48781636357307434,0.5023861527442932,-2.0230913162231445,-0.3515707552433014,2.427973747253418,1.0183898210525513,0.0016396365826949477,0.008876681327819824,-0.0023627865593880415,0.002542019123211503,-0.0065695783123373985,0.004337079357355833,0.004191648680716753,0.5998120903968811,2.055525328614749e-05,0.11985711008310318,-0.00012565017095766962,0.9999998211860657,0.00018615214503370225,0.00033536073169671,7.608161467942409e-06,-7.4484760261839256e-06,0.0323854424059391,-8.417922799708322e-06,-2.1447465314849978e-07,0.9999998807907104,-2.8132772058597766e-06,-0.006581481080502272,-0.0009888611966744065,0.000586812908295542,9.83556019491516e-05,-0.00016910964041016996,6.767731247236952e-05,-0.0065814536064863205,0.0009865586180239916,-0.0005909790634177625,-4.415082366904244e-05,-0.00078163156285882,-6.796000525355339e-05,-1.71661376953125e-05,-6.145121005829424e-06,0.024999991059303284,0.004024752881377935,0.00403873436152935,5.140942448633723e-06,7.290509529411793e-06,130,0,0,0.0,0.0,0.0,0.0,0.0,-10.0,False,False,,,,0,False,False,False,0.0,,False,False,False,False,True,True,0.0,False,,,,,,,,0.599823534488678,1.9912724383175373e-05,0.11957616358995438,-9.352259075967595e-05,0.9999998807907104,0.00014850373554509133,0.00024728922289796174
1.0916666666507808,approach,1.09166672360152,-10.0,-12.43414208292961,-0.16289949417114258,0.03447109702392481,0.03956468264845247,0.014940300388843752,0.055952909680744456,0.0,0.0,0.0,0.0,0,0.0018765772692859173,0.00031029514502733946,0.0018765770364552736,0.000378929398721084,0.0,12.431384780967711,0.0,0.0,0.0,0.0,0.0,0.0,-0.00018601810734253377,-0.00033087143674492836,-0.00012211342982482165,0.9999998807907104,-0.001928424695506692,0.0001032278742059134,-0.00048783980309963226,0.012309513054788113,0.11257019639015198,0.09692397713661194,-0.4888177216053009,0.48789075016975403,0.5023635029792786,-2.0230906009674072,-0.35162782669067383,2.4280195236206055,1.0184351205825806,0.001583451870828867,0.008869783021509647,-0.0022961506620049477,0.002481924369931221,-0.00664271367713809,0.004372965544462204,0.004214269109070301,0.5998079776763916,1.910463470267132e-05,0.11981891095638275,-0.00012563414929900318,0.9999998807907104,0.0001807411463232711,0.00032681337324902415,7.983197065186687e-06,-7.222482963697985e-06,0.032384779304265976,-4.0567806536273565e-06,5.278602202452021e-06,0.9999998807907104,-3.519688334563398e-06,-0.0014081221306696534,-0.0009863924933597445,0.000752172723878175,7.190985343186185e-05,1.5060009900480509e-05,-0.0003014717949554324,-0.0014079867396503687,0.0009860723512247205,-0.0007528450805693865,-7.069279672577977e-05,-0.00021857865795027465,0.00030135258566588163,-1.6570091247558594e-05,-6.108748493716121e-06,0.024999991059303284,0.004024767316877842,0.004038820508867502,5.132280421094038e-06,7.282360456883907e-06,131,0,0,0.0,0.0,0.0,0.0,0.0,-10.0,False,False,,,,0,False,False,False,0.0,,False,False,False,False,True,True,0.0,False,,,,,,,,0.5998260974884033,1.956307460204698e-05,0.11954523622989655,-9.352259075967595e-05,0.9999998807907104,0.00014850373554509133,0.00024728922289796174
1.099999999983993,approach,1.1000000573694706,-10.0,-12.395965307950972,-0.16736984252929688,0.03313235720270313,0.03956468264845247,0.015030490430945065,0.0,0.0,0.0,0.0,0.0,0,0.0012222523801028728,0.0006879305583424866,0.0012222521472722292,0.0006679508951492608,0.0,12.393208005989074,0.0,0.0,0.0,0.0,0.0,0.0,-0.00017903820844367146,-0.00032436082256026566,-0.00012187585525680333,0.9999999403953552,-0.002022647997364402,0.00011569262278499082,-0.000482314033433795,0.012849587947130203,0.11854758113622665,0.10171633213758469,-0.48880624771118164,0.4879651367664337,0.5023409724235535,-2.02308988571167,-0.35168495774269104,2.428065299987793,1.0184804201126099,0.0015318766236305237,0.008864893577992916,-0.0022334144450724125,0.0024375896900892258,-0.0067261988297104836,0.004495686385780573,0.004266011528670788,0.5998039841651917,1.74887572939042e-05,0.1197807714343071,-0.00012572796549648046,0.9999998807907104,0.00017526881129015237,0.0003183579246979207,8.053966666921042e-06,-7.493805242120288e-06,0.032384809106588364,-6.00174871578929e-06,3.771427600440802e-06,1.0,-3.851931523968233e-06,2.7298239729134366e-05,-0.001166286296211183,-0.0003645983524620533,0.00014937428932171315,0.0006531403632834554,-0.0001560239470563829,2.665718966454733e-05,0.0011662038741633296,0.0003649087739177048,-1.8976948922500014e-05,-0.000649239809717983,0.00015583939966745675,-1.621246337890625e-05,-6.096695869928226e-06,0.024999991059303284,0.004024774767458439,0.004038872662931681,5.1315801101736724e-06,7.285590982064605e-06,132,0,0,0.0,0.0,0.0,0.0,0.0,-10.0,True,False,,,,0,False,False,False,0.0,,False,False,False,False,True,True,0.0,False,,,,,,,,0.5998286008834839,1.9213966879760846e-05,0.1195143610239029,-9.352259075967595e-05,0.9999998807907104,0.00014850373554509133,0.00024728922289796174
1.108333333317205,approach,1.1083333911374211,-10.0,-12.357937544584273,-0.17178058624267578,0.03158374966005795,0.03956468264845247,0.015168027857725974,0.0,0.0,0.0,0.0,0.0,0,0.0016557658091187477,0.000712450360879302,0.001655764994211495,0.0006082108593545854,0.0,12.355180242622374,0.0,0.0,0.0,0.0,0.0,0.0,-0.00017524231225252151,-0.0003153386351186782,-0.00012161517224740237,0.9999999403953552,-0.0020230032969266176,0.00013015510921832174,-0.0004703076556324959,0.012847750447690487,0.1194019690155983,0.10297506302595139,-0.48879480361938477,0.4880395233631134,0.5023187398910522,-2.0230891704559326,-0.35174208879470825,2.4281110763549805,1.0185260772705078,0.0014800246572121978,0.008861003443598747,-0.002165568294003606,0.002414776710793376,-0.006811127997934818,0.004592786077409983,0.004308976698666811,0.5997999906539917,1.5887768313405104e-05,0.11974269151687622,-0.000125494014355354,0.9999999403953552,0.00016978425264824182,0.000309987721266225,8.178794814739376e-06,-7.5616062531480566e-06,0.03238476440310478,-5.349552793632029e-06,5.4598758651991375e-06,1.0000001192092896,-3.8780672184657305e-06,0.0007036352762952447,-0.0011453906772658229,-0.0009667149279266596,0.00011863899271702394,0.0006695074262097478,-0.00021276769984979182,0.0007026467937976122,0.0011453861370682716,0.0009674378088675439,-4.676551907323301e-05,-0.0005679243477061391,0.00021259202912915498,-1.5795230865478516e-05,-6.083520929678343e-06,0.024999991059303284,0.004024796653538942,0.004038850776851177,5.130237695993856e-06,7.279333658516407e-06,133,0,0,0.0,0.0,0.0,0.0,0.0,-10.0,False,False,,,,0,False,False,False,0.0,,False,False,False,False,True,True,0.0,False,,,,,,,,0.5998311638832092,1.8865444872062653e-05,0.11948353052139282,-9.352259075967595e-05,0.9999998807907104,0.00014850373554509133,0.00024728922289796174
